Gen	theta_6PmunDintDludDcelDgol	theta_7DintDludDcelDgol	theta_8DludDcelDgol	theta_9DcelDgol	tau_6PmunDintDludDcelDgol	tau_7DintDludDcelDgol	tau_8DludDcelDgol	tau_9DcelDgol	lnL
1560	0.002468	0.007360	0.003933	0.002374	0.096708	0.034932	0.023815	0.016137	-78640.475
1570	0.003321	0.002851	0.003972	0.003751	0.096239	0.037782	0.027277	0.016071	-78892.273
1580	0.005190	0.002776	0.007320	0.002414	0.088463	0.037202	0.023956	0.017567	-79127.830
1590	0.004587	0.003984	0.004562	0.003240	0.095142	0.033800	0.022328	0.016889	-79050.437
1600	0.005544	0.005247	0.002031	0.002989	0.105759	0.037180	0.029799	0.015634	-79063.374
1610	0.003517	0.003167	0.004160	0.002310	0.096154	0.032660	0.018453	0.014090	-79177.325
1620	0.004802	0.003442	0.005480	0.003379	0.097922	0.046518	0.021608	0.015705	-79035.199
1630	0.005843	0.005952	0.005320	0.002523	0.099683	0.043877	0.022376	0.017482	-78361.972
1640	0.007080	0.006177	0.003048	0.003513	0.088504	0.043478	0.022640	0.012852	-78942.774
1650	0.004740	0.002823	0.003228	0.003011	0.088858	0.033484	0.020463	0.012252	-78967.804
1660	0.005317	0.005680	0.005033	0.003565	0.093290	0.034411	0.021837	0.014481	-78731.347
1670	0.006675	0.005745	0.002041	0.003946	0.081782	0.029578	0.020358	0.013500	-78707.852
1680	0.004292	0.014115	0.002443	0.002762	0.105975	0.039781	0.024364	0.019795	-79118.153
1690	0.002198	0.005035	0.004258	0.001566	0.087356	0.042387	0.016838	0.010462	-78925.472
1700	0.001838	0.005766	0.001891	0.001450	0.086404	0.047769	0.023706	0.015002	-79227.299
1710	0.001788	0.012964	0.001953	0.001416	0.090913	0.037197	0.024485	0.016388	-79354.420
1720	0.001812	0.003647	0.001784	0.001028	0.078694	0.045205	0.022371	0.018839	-78897.840
1730	0.002793	0.004905	0.001807	0.002817	0.076732	0.037924	0.022651	0.015221	-79041.172
1740	0.003180	0.004089	0.002147	0.002479	0.093373	0.040751	0.026914	0.020242	-78455.646
1750	0.001848	0.004179	0.001419	0.002372	0.086172	0.036968	0.027611	0.018473	-79022.271
1760	0.002909	0.005082	0.001325	0.003471	0.081073	0.032482	0.025776	0.015535	-78845.182
1770	0.003225	0.009419	0.002410	0.007144	0.095978	0.043845	0.025424	0.014412	-78864.238
1780	0.002709	0.003217	0.003441	0.003867	0.086486	0.052151	0.025640	0.018753	-78658.601
1790	0.002549	0.006119	0.002827	0.006360	0.094174	0.039312	0.027947	0.015980	-78564.036
1800	0.002357	0.003438	0.001406	0.002295	0.083819	0.028789	0.022667	0.011656	-79196.403
1810	0.001727	0.006372	0.001599	0.002896	0.091470	0.026724	0.021012	0.013730	-79029.892
1820	0.001721	0.009477	0.003000	0.003767	0.092764	0.026910	0.019082	0.010702	-79452.806
1830	0.001989	0.011524	0.002653	0.009891	0.100476	0.034219	0.021325	0.011609	-78934.916
1840	0.001901	0.007434	0.002909	0.006048	0.081645	0.033498	0.018459	0.011402	-78843.206
1850	0.002019	0.008143	0.002702	0.003682	0.085285	0.038196	0.019956	0.011841	-79042.019
1860	0.003100	0.004826	0.004506	0.003964	0.099444	0.043474	0.022378	0.013834	-79007.739
1870	0.003196	0.005725	0.003138	0.001733	0.095181	0.036297	0.019174	0.013631	-78698.751
1880	0.003417	0.003584	0.002644	0.002728	0.092304	0.041936	0.019829	0.015896	-79273.914
1890	0.003684	0.002528	0.002054	0.001966	0.081000	0.035963	0.016995	0.015126	-79523.053
1900	0.004382	0.002882	0.003858	0.002847	0.088012	0.043557	0.020157	0.014690	-78595.403
1910	0.010048	0.003223	0.004333	0.003004	0.101973	0.045397	0.021528	0.016463	-78847.025
1920	0.004309	0.005253	0.003009	0.002437	0.073536	0.040132	0.020621	0.015769	-78852.508
1930	0.008871	0.006752	0.003385	0.002741	0.080955	0.036979	0.023192	0.017735	-79261.903
1940	0.005706	0.007286	0.005316	0.002686	0.086631	0.040230	0.024454	0.020118	-79041.944
1950	0.003149	0.002241	0.002759	0.004006	0.089357	0.044064	0.023139	0.020065	-79301.658
1960	0.003952	0.002016	0.002591	0.003543	0.075778	0.038693	0.020475	0.018400	-78921.076
1970	0.003431	0.003519	0.004770	0.003697	0.097274	0.052192	0.027476	0.021993	-78970.156
1980	0.002734	0.002519	0.005140	0.003871	0.092857	0.045102	0.022320	0.016903	-79263.070
1990	0.004386	0.003038	0.006081	0.003571	0.100600	0.041098	0.022769	0.015139	-78771.193
2000	0.007767	0.003620	0.006413	0.004484	0.099507	0.042359	0.025865	0.014306	-78767.676
2010	0.006471	0.003432	0.003957	0.004343	0.104266	0.037635	0.025679	0.016909	-79039.031
2020	0.008056	0.005471	0.002791	0.002452	0.086219	0.033731	0.022269	0.017403	-79459.103
2030	0.004133	0.003054	0.004491	0.004074	0.080418	0.030460	0.021424	0.011164	-79013.004
2040	0.005796	0.002322	0.004131	0.007879	0.101526	0.037448	0.022847	0.012639	-78697.315
2050	0.003401	0.005048	0.004885	0.014073	0.111472	0.039328	0.027019	0.011476	-78815.005
2060	0.001290	0.002560	0.005660	0.005587	0.094959	0.036303	0.015682	0.011587	-78886.780
2070	0.005059	0.006667	0.005234	0.017581	0.102261	0.032800	0.021162	0.009959	-78899.998
2080	0.006827	0.004622	0.005189	0.012487	0.081483	0.034451	0.015409	0.012220	-78980.489
2090	0.009009	0.003549	0.006254	0.028276	0.106197	0.049949	0.023377	0.012965	-79157.539
2100	0.010624	0.002162	0.002845	0.017562	0.088962	0.045805	0.020470	0.013239	-78860.845
2110	0.006548	0.002465	0.004119	0.009142	0.085384	0.039315	0.021039	0.013488	-79233.613
2120	0.004231	0.005457	0.005700	0.008749	0.076949	0.031397	0.020096	0.016567	-78622.971
2130	0.005275	0.003641	0.003982	0.011973	0.083000	0.033948	0.021730	0.017819	-78636.711
2140	0.005711	0.002194	0.002708	0.011897	0.089675	0.036534	0.021935	0.018660	-79250.619
2150	0.003626	0.001758	0.003079	0.010057	0.101431	0.051342	0.024511	0.021373	-78713.723
2160	0.003636	0.001687	0.002743	0.004714	0.085069	0.036750	0.017476	0.014855	-78878.176
2170	0.004296	0.001474	0.008617	0.002579	0.104477	0.055893	0.021742	0.019036	-78850.755
2180	0.003654	0.001271	0.005297	0.001203	0.081665	0.046102	0.017853	0.015751	-79025.780
2190	0.012761	0.001330	0.009208	0.000981	0.089297	0.042840	0.020711	0.018250	-79044.385
2200	0.023187	0.001429	0.012706	0.003109	0.098017	0.047408	0.022688	0.017858	-78560.805
2210	0.021300	0.001348	0.003861	0.005162	0.096852	0.039572	0.025809	0.018719	-79100.106
2220	0.015950	0.001470	0.001732	0.003124	0.090372	0.030528	0.022336	0.016583	-78791.767
2230	0.011459	0.001954	0.002244	0.002505	0.075633	0.027282	0.020315	0.016528	-78873.703
2240	0.010979	0.001703	0.003018	0.003106	0.097595	0.037903	0.024879	0.019995	-78837.126
2250	0.007362	0.002759	0.006766	0.002899	0.111122	0.052996	0.023958	0.019255	-78880.054
2260	0.007876	0.001253	0.003740	0.002725	0.074548	0.040622	0.018198	0.012306	-78715.118
2270	0.008111	0.003587	0.005160	0.007095	0.089826	0.040831	0.022405	0.017542	-78805.830
2280	0.004913	0.002204	0.006336	0.003686	0.078532	0.043868	0.017350	0.014064	-78957.939
2290	0.004388	0.002637	0.005464	0.003344	0.076235	0.045761	0.016582	0.014286	-78549.578
2300	0.003157	0.006690	0.007267	0.001541	0.078040	0.038401	0.016248	0.013644	-79238.621
2310	0.003084	0.003302	0.007421	0.001889	0.079559	0.036419	0.015410	0.012155	-78628.079
2320	0.004966	0.004243	0.005364	0.002398	0.074570	0.028670	0.013692	0.011143	-79588.439
2330	0.004442	0.005818	0.004084	0.005720	0.095271	0.035674	0.021299	0.011142	-79185.365
2340	0.005922	0.003276	0.005486	0.002925	0.092845	0.035581	0.021244	0.015270	-78747.395
2350	0.005659	0.003385	0.013043	0.005224	0.108677	0.051520	0.022222	0.017573	-78836.227
2360	0.007586	0.002688	0.005940	0.005815	0.097066	0.031756	0.018843	0.015223	-78648.277
2370	0.009025	0.003434	0.007903	0.003150	0.092871	0.032968	0.019032	0.015059	-78835.873
2380	0.012027	0.006301	0.007361	0.003694	0.086809	0.036438	0.021125	0.016716	-78971.701
