Gen	theta_6PmunDintDgolDcelDlud	theta_7DintDgolDcelDlud	theta_8DgolDcelDlud	theta_9DcelDlud	tau_6PmunDintDgolDcelDlud	tau_7DintDgolDcelDlud	tau_8DgolDcelDlud	tau_9DcelDlud	lnL
58410	0.003166	0.003603	0.006428	0.008190	0.005904	0.000605	0.000220	0.000103	-107114.966
58420	0.002257	0.005059	0.010948	0.010350	0.006815	0.000699	0.000192	0.000111	-103189.183
58430	0.003502	0.006520	0.012024	0.003759	0.009521	0.000976	0.000337	0.000276	-105281.613
58440	0.003159	0.005811	0.003813	0.002536	0.010410	0.001032	0.000589	0.000401	-105482.515
58450	0.003095	0.004405	0.002006	0.002607	0.010200	0.001011	0.000754	0.000466	-104391.361
58460	0.002159	0.003358	0.002248	0.002728	0.007116	0.000705	0.000476	0.000292	-106704.404
58470	0.003601	0.004538	0.002304	0.003768	0.011866	0.001176	0.000735	0.000638	-104688.468
58480	0.003618	0.002921	0.002505	0.002048	0.007638	0.000757	0.000473	0.000242	-112223.226
58490	0.003338	0.002920	0.002596	0.003512	0.007634	0.000757	0.000321	0.000131	-105086.180
58500	0.003928	0.002954	0.002031	0.003530	0.006775	0.000671	0.000383	0.000112	-109493.177
58510	0.001738	0.002055	0.002168	0.003413	0.004713	0.000467	0.000216	0.000102	-107712.161
58520	0.003032	0.003812	0.004121	0.006136	0.008223	0.000815	0.000346	0.000252	-102390.485
58530	0.003382	0.004882	0.002630	0.005613	0.011933	0.001183	0.000962	0.000796	-100592.750
58540	0.001934	0.005791	0.005707	0.002658	0.014763	0.001463	0.001164	0.001019	-101973.594
58550	0.003087	0.007160	0.008263	0.002117	0.023564	0.002335	0.001857	0.001779	-108007.841
58560	0.001947	0.003395	0.008946	0.002278	0.014861	0.001473	0.001151	0.000853	-106396.631
58570	0.001947	0.003395	0.002228	0.003142	0.014861	0.001473	0.001393	0.000552	-107689.133
58580	0.002755	0.002706	0.003449	0.005183	0.015518	0.001538	0.001273	0.000764	-113097.550
58590	0.002279	0.001517	0.001656	0.002457	0.008701	0.000862	0.000737	0.000578	-108748.888
58600	0.002734	0.001879	0.004137	0.010911	0.010777	0.001068	0.000647	0.000636	-103954.574
58610	0.003098	0.001832	0.008407	0.010421	0.010509	0.001042	0.000802	0.000721	-110612.808
58620	0.003553	0.002553	0.004983	0.012522	0.014640	0.001451	0.001362	0.001163	-105429.642
58630	0.001931	0.001912	0.006120	0.021724	0.010966	0.001087	0.000947	0.000487	-103443.242
58640	0.003805	0.001323	0.003791	0.013757	0.007588	0.000752	0.000639	0.000447	-104644.644
58650	0.002941	0.001113	0.001686	0.007083	0.006381	0.000632	0.000546	0.000475	-105991.860
58660	0.004396	0.001215	0.006254	0.006196	0.006536	0.000648	0.000439	0.000360	-106744.733
58670	0.004038	0.001758	0.005070	0.002650	0.009452	0.000937	0.000733	0.000699	-102824.790
58680	0.011224	0.002292	0.038170	0.004257	0.012326	0.001222	0.000678	0.000544	-101000.825
58690	0.007865	0.002218	0.004738	0.005005	0.009641	0.000955	0.000796	0.000779	-107014.046
