Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10k	theta_11u	theta_12j	theta_13l	theta_14j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10k	tau_11u	tau_12j	tau_13l	phi_j<-i	phi_l<-k	lnL
26450	0.090789	0.055868	0.015902	0.007367	0.004179	0.003181	0.003044	0.002273	0.003487	0.047133	0.014479	0.007493	0.002963	0.001357	0.001876	0.001873	0.001357	0.577331	0.021045	-75447.088
26460	0.130533	0.042497	0.030128	0.006871	0.006005	0.005894	0.016828	0.002927	0.003659	0.049463	0.014586	0.007863	0.003158	0.001786	0.001969	0.001139	0.001786	0.431761	0.080756	-75417.741
26470	0.085528	0.038309	0.010801	0.004174	0.016335	0.004133	0.004608	0.003161	0.003412	0.046124	0.013601	0.009972	0.003440	0.001186	0.001960	0.001496	0.001186	0.481371	0.198798	-75442.289
26480	0.096285	0.043737	0.018217	0.003955	0.013194	0.005906	0.012624	0.003024	0.003449	0.048442	0.014285	0.008497	0.003441	0.001688	0.002059	0.000868	0.001688	0.638799	0.154722	-75450.928
26490	0.103630	0.051468	0.011285	0.006206	0.005287	0.003240	0.003393	0.002169	0.002501	0.048442	0.014285	0.011603	0.002865	0.001619	0.002059	0.001566	0.001619	0.633584	0.008862	-75413.875
26500	0.109226	0.057773	0.004820	0.005849	0.001317	0.003054	0.003677	0.003914	0.003331	0.045655	0.012682	0.010936	0.002700	0.000852	0.001941	0.000352	0.000852	0.753535	0.047358	-75432.726
26510	0.081393	0.060388	0.007310	0.005955	0.002333	0.003077	0.003525	0.006296	0.001678	0.045997	0.012777	0.010063	0.002720	0.000264	0.001955	0.000354	0.000264	0.586621	0.018006	-75446.160
26520	0.089932	0.060419	0.012787	0.002931	0.002073	0.003015	0.005525	0.001024	0.002902	0.045078	0.012521	0.008667	0.002926	0.001123	0.001916	0.001386	0.001123	0.597366	0.101760	-75409.569
26530	0.096501	0.048190	0.011268	0.002588	0.003773	0.003645	0.005202	0.014591	0.013198	0.043538	0.012094	0.008827	0.002773	0.001521	0.001903	0.000212	0.001521	0.599640	0.037081	-75463.841
26540	0.104249	0.045135	0.015297	0.002588	0.003626	0.001531	0.004318	0.002930	0.004333	0.043538	0.012094	0.007293	0.002773	0.001978	0.002967	0.000864	0.001978	0.460092	0.037081	-75417.041
