Gen	theta_6r	theta_7s	theta_8t	theta_9i	theta_10u	theta_11j	theta_12j	tau_6r	tau_7s	tau_8t	tau_9i	tau_10u	tau_11j	phi_j<-i	lnL
66530	0.198366	0.011074	0.026385	0.001699	0.027420	0.004149	0.018477	0.036013	0.028558	0.004155	0.002713	0.002360	0.000235	0.478031	-75814.770
66540	0.185091	0.012048	0.024409	0.002622	0.011184	0.004832	0.003937	0.033060	0.023040	0.003844	0.001702	0.002555	0.000173	0.561865	-75690.255
66550	0.126492	0.011446	0.033100	0.002521	0.003947	0.002211	0.001619	0.031408	0.021888	0.003652	0.001988	0.003316	0.000341	0.696943	-75671.312
66560	0.116267	0.015282	0.025257	0.002533	0.006068	0.002531	0.011751	0.033669	0.023464	0.003915	0.002232	0.003391	0.000070	0.857197	-75770.984
66570	0.155109	0.019587	0.027408	0.004190	0.001409	0.004075	0.007557	0.036911	0.022622	0.004292	0.001647	0.004249	0.000096	0.361779	-75684.223
66580	0.133649	0.015062	0.027782	0.002852	0.011813	0.002210	0.001692	0.037415	0.022931	0.004350	0.002439	0.004307	0.000174	0.729001	-75733.252
66590	0.136370	0.017999	0.016673	0.001324	0.028897	0.011327	0.001732	0.034560	0.021181	0.004018	0.002738	0.002977	0.001723	0.405263	-75681.923
66600	0.103939	0.021064	0.026897	0.001665	0.023034	0.003694	0.005243	0.040444	0.024788	0.004702	0.003122	0.004231	0.002374	0.461086	-75770.012
66610	0.116804	0.014825	0.026897	0.004688	0.002084	0.003587	0.001605	0.040444	0.024788	0.004702	0.003122	0.004564	0.001435	0.491883	-75749.868
66620	0.107329	0.013417	0.026897	0.002685	0.004745	0.002820	0.003884	0.040444	0.024788	0.004702	0.003826	0.004648	0.000749	0.703024	-75676.231
66630	0.093918	0.012421	0.024900	0.002384	0.001636	0.002759	0.003217	0.037441	0.022947	0.004353	0.002823	0.004303	0.002066	0.703024	-75791.223
66640	0.141801	0.020102	0.031181	0.007622	0.015914	0.004841	0.003082	0.041163	0.025228	0.004786	0.001724	0.004731	0.001070	0.661411	-75649.840
66650	0.134424	0.019448	0.025552	0.002445	0.002554	0.008453	0.001320	0.039824	0.024408	0.004630	0.002729	0.004505	0.001962	0.418427	-75737.529
66660	0.104000	0.018869	0.026356	0.004686	0.007143	0.003846	0.002965	0.038639	0.023681	0.004493	0.002974	0.004492	0.002745	0.168654	-75756.268
